SN,고객번호,우편번호,시도,시군구,동단위,나이,고객등급,고객등급코드,가입일자,가입기간, 수신 총잔액 , 신용대출한도 ,신용등급, 담보대출한도 ,년간 환전액,분기당 해외 송금액,스마트뱅킹 사용여부,폰뱅킹사용여부, 월소득 예상금액 ,인터넷뱅킹사용횟수, 인터넷뱅킹 사용 금액 ,가입점,교육정도코드,교육정도,종교코드,종교,직업종류코드,직업종류,혼인여부,주택소유여부
B832,11747142,20191,경기,고양시,일산3동,55,실버,1,2005-11-23,12,"5,303,649","78,200,000",3,"156,400,000",0,0,n,n,"7,069,167",37,"6,816,000",영업점,5,석사,4,카톨릭,2,전문직,기혼,전세
B833,11752722,3744,서울,마포구,공덕동,70,패밀리,0,2003-05-31,15,"435,299","22,500,000",7,"45,000,000",0,0,y,n,"70,000",0, - ,영업점,3,대퇴,1,불교,8,무직,사실혼,월세
B834,11753033,,NULL,NULL,NULL,33,패밀리,0,2006-06-23,12,"617,858","75,800,000",6,"151,600,000",0,0,n,y,"70,833",0, - ,영업점,2,고졸,1,불교,0,NULL,사별,가족소유
B835,11754289,19087,강원,정선군,고한읍,44,골드,2,2007-10-21,10,"10,486,830","2,800,000",6,"5,600,000",0,0,n,n,"8,072,500",0, - ,영업점,3,대퇴,1,불교,3,자영업,비혼,가족소유
B836,11755824,16676,울산,남구,신정5동,35,골드,2,2007-04-24,11,"15,113,438","61,600,000",7,"123,200,000",0,0,n,n,"73,333",35,"4,320,000",영업점,7,해외유학,4,카톨릭,0,NULL,비혼,전세
B837,11756899,43943,충남,아산시,탕정면,46,실버,1,2001-08-09,16,"6,446,151","735,700,000",1,"1,471,400,000",0,0,y,n,"8,074,167",0, - ,영업점,5,석사,4,카톨릭,3,자영업,비혼,전세
B838,11757261,48580,경기,고양시,마두동,60,실버,1,2004-08-09,13,"3,970,200","5,200,000",6,"10,400,000",0,0,n,n,"8,075,000",0, - ,영업점,5,석사,2,기독교,3,자영업,재혼,전세
B839,11759507,31192,경북,경주시,동방동,43,패밀리,0,2005-11-22,12,"747,612","153,000,000",2,"306,000,000",0,0,y,n,"7,075,833",0, - ,영업점,6,박사,2,기독교,2,전문직,기혼,월세
B840,11759748,3865,서울,마포구,성산1동,57,패밀리,0,2006-10-29,11,"814,312","4,100,000",9,"8,200,000",0,0,n,n,"1,076,667",17,"23,280,000",영업점,2,고졸,3,무교,7,학생,사별,자가소유
B841,11760816,7502,부산,강서구,녹산동,48,실버,1,2003-01-22,15,"7,546,211","82,700,000",3,"165,400,000",0,0,n,n,"1,079,167",0, - ,영업점,5,석사,2,기독교,6,주부,사실혼,전세
B842,11766191,18384,강원,춘천시,남산면,66,패밀리,0,2006-11-29,11,"865,738","37,400,000",7,"74,800,000",0,0,n,n,"80,000",32,"13,380,000",콜센터,2,고졸,1,불교,0,NULL,재혼,자가소유
B843,11766214,0,NULL,NULL,NULL,62,패밀리,0,2009-08-31,8,"879,456","8,200,000",6,"16,400,000",0,0,n,n,"8,080,833",0, - ,콜센터,2,고졸,3,무교,3,자영업,이혼,월세
B844,11766601,20692,경기,광주시,태전동,44,실버,1,2007-04-02,11,"8,097,344","39,800,000",7,"79,600,000",0,0,n,n,"81,667",24,"3,108,000",영업점,6,박사,2,기독교,0,NULL,사별,월세
B845,11767867,4401,서울,서초구,서초동,61,패밀리,0,2007-05-17,11,"708,027","44,200,000",6,"88,400,000",0,0,n,n,"1,008,333",0, - ,영업점,2,고졸,4,카톨릭,7,학생,비혼,월세
B846,11767884,20853,경기,구리시,수택동,59,패밀리,0,2008-12-02,9,"803,190","81,600,000",3,"163,200,000",0,0,y,n,"8,009,167",14,"5,712,000",영업점,2,고졸,4,카톨릭,3,자영업,사별,월세
B847,11770937,849,서울,강동구,천호2동,15,실버,1,2004-07-23,13,"8,623,091","498,800,000",3,"997,600,000",0,0,n,n,"10,833",0, - ,영업점,2,고졸,4,카톨릭,8,무직,이혼,가족소유
B848,11771200,496,서울,강남구,일원동,6,패밀리,0,2001-08-20,16,"332,399","47,300,000",3,"94,600,000",0,0,n,n,"8,011,667",0, - ,콜센터,3,대퇴,4,카톨릭,3,자영업,기혼,월세
B849,11772311,14289,인천,강화군,강화읍,63,실버,1,2008-02-21,10,"4,161,363","85,100,000",3,"170,200,000",0,0,n,n,"9,656,116",16,"21,924,000",영업점,4,학사,4,카톨릭,3,자영업,이혼,월세
B850,11773622,20204,경기,고양시,일산3동,61,패밀리,0,2005-09-13,12,"910,171","1,500,000",10,"3,000,000",0,0,n,n,"12,500",0, - ,영업점,2,고졸,2,기독교,8,무직,기혼,전세
B851,11775677,42155,전북,임실군,신덕면,62,실버,1,2006-05-03,12,"9,931,398","181,000,000",3,"362,000,000",0,0,n,n,"1,013,333",0, - ,영업점,2,고졸,4,카톨릭,6,주부,사실혼,자가소유
B852,11777491,10066,부산,영도구,동삼3동,65,패밀리,0,2007-11-21,10,"575,726","132,100,000",5,"264,200,000",0,0,n,n,"15,000",0, - ,콜센터,2,고졸,1,불교,0,NULL,재혼,월세
B853,11779353,25658,경기,파주시,아동동,59,패밀리,0,2007-10-29,10,"999,257","2,700,000",8,"5,400,000",26000000,6500000,y,n,"2,523,430",19,"14,184,000",영업점,3,대퇴,3,무교,6,주부,비혼,전세
B854,11782249,503,서울,강남구,청담1동,43,플래티늄,3,2007-05-12,11,"288,630,760","377,100,000",2,"754,200,000",0,0,n,n,"1,017,500",0, - ,영업점,2,고졸,1,불교,6,주부,재혼,월세
B855,11786873,20142,경기,고양시,설문동,68,패밀리,0,2006-12-21,11,"99,619","13,300,000",9,"26,600,000",0,0,n,n,"18,333",32,"360,000",콜센터,2,고졸,4,카톨릭,0,NULL,사실혼,자가소유
B856,11787754,15646,광주,서구,화정4동,62,패밀리,0,2005-04-06,13,"610,492","1,000,000",8,"2,000,000",0,0,y,n,"3,019,167",0, - ,콜센터,5,석사,1,불교,1,회사원,재혼,자가소유
B857,11793051,1881,서울,관악구,신림동,82,실버,1,2004-11-07,13,"4,023,228","40,100,000",3,"80,200,000",0,0,n,n,"8,020,000",0, - ,영업점,4,학사,1,불교,3,자영업,기혼,월세
B858,11795628,651,서울,강동구,둔촌동,42,패밀리,0,2005-12-20,12,"74,213","37,800,000",4,"75,600,000",0,0,n,n,"3,020,833",17,"15,876,000",영업점,3,대퇴,4,카톨릭,1,회사원,기혼,전세
B859,11795942,21,NULL,NULL,NULL,79,실버,1,2003-03-24,15,"2,528,660","3,700,000",9,"7,400,000",0,0,n,y,"1,021,667",0, - ,영업점,5,석사,1,불교,7,학생,이혼,가족소유
B860,11796915,18180,강원,춘천시,석사동,53,실버,1,2006-02-23,12,"5,638,000","2,600,000",9,"5,200,000",0,0,n,n,"4,339,659",0, - ,영업점,2,고졸,2,기독교,0,NULL,사별,월세
B861,11799519,23441,경기,안산시,성곡동,41,패밀리,0,2006-08-24,11,"327,209","19,100,000",8,"38,200,000",0,0,n,n,"24,167",0, - ,pb센터,5,석사,1,불교,0,NULL,이혼,월세
B862,11801401,24944,경기,의왕시,고천동,53,골드,2,2005-06-06,13,"16,433,720","23,800,000",5,"47,600,000",0,0,n,n,"1,025,000",0, - ,영업점,3,대퇴,1,불교,6,주부,사별,가족소유
B863,11801446,20204,경기,고양시,일산3동,51,패밀리,0,2007-01-10,11,"323,278","64,300,000",5,"128,600,000",0,0,n,n,"2,416,832",23,"5,700,000",영업점,4,학사,2,기독교,7,학생,재혼,가족소유
B864,11805455,21161,경기,김포시,풍무동,68,실버,1,2002-12-08,15,"1,471,443","42,700,000",3,"85,400,000",0,0,n,n,"8,027,500",0, - ,영업점,2,고졸,1,불교,3,자영업,비혼,자가소유
B865,11808429,20336,경기,고양시,풍동,52,패밀리,0,2009-06-02,9,"158,086","38,500,000",4,"77,000,000",0,0,n,n,"8,028,333",0, - ,영업점,7,해외유학,3,무교,3,자영업,비혼,가족소유
B866,11809441,129186,경남,창원시,도계동,70,패밀리,0,2008-02-15,10,"817,595","58,900,000",7,"117,800,000",0,0,n,n,"1,020,096",18,"10,140,000",영업점,2,고졸,1,불교,0,NULL,재혼,월세
B867,11811236,3669,서울,동작구,상도동,50,실버,1,2007-05-22,11,"1,865,722","3,900,000",6,"7,800,000",0,0,n,n,"8,029,167",0, - ,영업점,3,대퇴,2,기독교,3,자영업,사실혼,월세
B868,11813048,2469,서울,금천구,시흥본동,49,패밀리,0,2005-01-05,13,"961,690","3,800,000",6,"7,600,000",0,0,n,n,"8,030,000",27,"14,484,000",pb센터,2,고졸,4,카톨릭,3,자영업,기혼,자가소유
B869,11814200,1,NULL,NULL,NULL,44,패밀리,0,2006-03-06,12,"592,673","3,800,000",10,"7,600,000",0,0,n,n,"30,833",40,"4,992,000",영업점,4,학사,1,불교,0,NULL,비혼,가족소유
B870,11819698,27847,경남,마산시,교방동,65,실버,1,2001-08-20,16,"5,044,462","249,300,000",2,"498,600,000",0,0,y,n,"3,036,667",29,"22,968,000",영업점,3,대퇴,3,무교,1,회사원,사실혼,전세
B871,11821835,3911,서울,마포구,아현1동,44,실버,1,2004-01-08,14,"7,960,103","1,600,000",6,"3,200,000",0,0,n,n,"5,040,000",0, - ,영업점,2,고졸,1,불교,4,계열사직원,사실혼,가족소유
B872,11822894,20189,경기,고양시,일산3동,63,패밀리,0,2002-05-20,16,"863,987","22,400,000",7,"44,800,000",0,0,n,n,"1,714,738",0, - ,영업점,2,고졸,1,불교,8,무직,기혼,월세
B873,11823622,4524,서울,성동구,마장동,72,패밀리,0,2004-03-15,14,"201,910","12,600,000",8,"25,200,000",0,0,n,n,"41,667",24,"14,988,000",영업점,2,고졸,4,카톨릭,8,무직,이혼,자가소유
B874,11828906,4531,서울,성동구,마장동,62,골드,2,2009-11-24,8,"17,986,840","66,300,000",3,"132,600,000",0,0,n,n,"9,593,236",0, - ,영업점,5,석사,2,기독교,3,자영업,사실혼,월세
B875,11830639,9085,부산,사상구,괘법동,67,패밀리,0,2007-09-30,10,"166,512","2,100,000",9,"4,200,000",0,0,n,n,"1,044,167",36,"924,000",영업점,3,대퇴,1,불교,6,주부,이혼,전세
B876,11830737,21,NULL,NULL,NULL,73,실버,1,2008-10-19,9,"9,799,417","85,000,000",3,"170,000,000",0,0,n,n,"9,547,338",0, - ,영업점,4,학사,4,카톨릭,3,자영업,재혼,가족소유
B877,11833256,26262,경기,포천시,소흘읍,63,골드,2,2004-02-12,14,"15,529,192","132,100,000",3,"264,200,000",0,0,n,n,"1,045,000",39,"23,352,000",영업점,2,고졸,4,카톨릭,6,주부,사실혼,자가소유
B878,11834080,24043,경기,안양시,평촌동,44,패밀리,0,2002-04-17,16,"621,562","3,200,000",7,"6,400,000",0,0,n,n,"8,046,667",12,"1,380,000",영업점,4,학사,1,불교,3,자영업,비혼,전세
B879,11838241,21730,경기,동두천시,지행동,48,패밀리,0,2005-05-16,13,"942,865","49,400,000",6,"98,800,000",0,0,n,n,"50,000",39,"17,556,000",영업점,3,대퇴,1,불교,8,무직,재혼,자가소유
B880,11839274,3837,서울,마포구,망원동,70,골드,2,2009-02-15,9,"28,884,230","38,300,000",3,"76,600,000",0,0,y,n,"8,051,667",32,"6,312,000",pb센터,3,대퇴,1,불교,3,자영업,재혼,월세
B881,11839604,2309,서울,구로구,신도림동,63,골드,2,2003-12-09,14,"25,537,481","4,400,000",7,"8,800,000",0,0,n,n,"1,052,500",0, - ,영업점,3,대퇴,3,무교,6,주부,기혼,월세
B882,11845596,28702,경남,진주시,강남동,58,실버,1,2003-12-15,14,"2,528,262","3,300,000",7,"6,600,000",0,0,y,n,"3,055,000",0, - ,영업점,5,석사,1,불교,1,회사원,기혼,전세
B883,11845778,22574,경기,성남시,중동,36,실버,1,2011-11-09,6,"9,218,369","3,100,000",9,"6,200,000",0,0,n,n,"1,056,667",32,"8,220,000",영업점,5,석사,2,기독교,7,학생,재혼,월세
B884,11847657,26158,경기,평택시,진위면,40,패밀리,0,2005-10-16,12,"245,112","89,100,000",6,"178,200,000",0,0,n,n,"57,500",0, - ,영업점,3,대퇴,2,기독교,0,NULL,비혼,전세
B885,11849045,1647,서울,관악구,봉천10동,51,골드,2,2007-05-21,11,"26,989,682","18,300,000",8,"36,600,000",0,0,y,n,"1,368,418",20,"4,812,000",영업점,9,NULL,9,원불교,0,NULL,기혼,전세
B886,11849262,46345,충북,청주시,수곡동,73,패밀리,0,2006-09-06,11,"654,038","40,100,000",7,"80,200,000",0,0,n,n,"3,615,028",0, - ,영업점,5,석사,2,기독교,8,무직,사실혼,가족소유
B887,11849957,20184,경기,고양시,일산2동,52,패밀리,0,2006-12-04,11,"769,562","129,300,000",3,"258,600,000",0,0,n,n,"8,060,000",19,"14,100,000",pb센터,3,대퇴,1,불교,3,자영업,사실혼,월세
B888,11850385,14786,광주,남구,월산2동,43,골드,2,2003-04-16,15,"26,942,632","257,400,000",4,"514,800,000",0,0,y,n,"61,667",23,"21,324,000",콜센터,9,NULL,9,원불교,0,NULL,이혼,자가소유
B889,11857004,20191,경기,고양시,일산3동,46,실버,1,2008-01-14,10,"6,866,694","8,300,000",5,"16,600,000",0,0,n,n,"8,065,000",0, - ,pb센터,5,석사,3,무교,3,자영업,비혼,전세
B890,11857530,31854,경북,구미시,장천면,58,패밀리,0,2007-05-04,11,"964,898","77,100,000",6,"154,200,000",0,0,n,n,"66,667",0, - ,영업점,4,학사,1,불교,0,NULL,이혼,전세
B891,11858477,22477,경기,성남시,갈현동,63,실버,1,2003-10-22,14,"8,673,610","12,000,000",6,"24,000,000",0,0,n,n,"1,067,500",35,"10,560,000",영업점,1,기타,4,카톨릭,6,주부,사별,가족소유
B892,11859595,19959,경기,고양시,화전동,46,패밀리,0,2007-04-28,11,"925,751","319,900,000",4,"639,800,000",0,0,n,n,"68,333",0, - ,영업점,2,고졸,2,기독교,0,NULL,비혼,자가소유
B893,11865024,33793,경북,포항시,흥해읍,54,실버,1,2002-11-22,15,"2,412,055","18,100,000",3,"36,200,000",0,0,y,n,"7,071,667",0, - ,영업점,2,고졸,4,카톨릭,2,전문직,재혼,자가소유
B894,11867198,13667,인천,부평구,부개2동,57,실버,1,2002-06-01,16,"5,591,997","10,200,000",7,"20,400,000",0,0,n,n,"1,072,500",12,"23,760,000",영업점,2,고졸,4,카톨릭,6,주부,사실혼,가족소유
B895,11871755,28772,경남,진주시,신안동,75,패밀리,0,2005-08-15,12,"547,418","32,100,000",4,"64,200,000",0,0,y,n,"3,075,000",0, - ,pb센터,3,대퇴,1,불교,1,회사원,이혼,월세
B896,11872994,40612,전북,전주시,덕진동2가,69,패밀리,0,2007-11-18,10,"619,048","368,000,000",1,"736,000,000",47200000,0,n,n,"8,711,890",11,"11,880,000",pb센터,5,석사,4,카톨릭,2,전문직,이혼,가족소유
B897,11876954,3292,서울,동대문구,이문동,40,패밀리,0,2006-07-10,11,"318,659","4,300,000",7,"8,600,000",0,0,n,n,"3,077,500",0, - ,영업점,1,기타,1,불교,1,회사원,비혼,자가소유
B898,11878637,20082,경기,고양시,마두1동,46,실버,1,2003-10-22,14,"3,895,481","6,800,000",9,"13,600,000",0,0,y,n,"1,538,282",22,"9,996,000",영업점,9,NULL,9,원불교,0,NULL,사실혼,자가소유
B899,11880243,31633,경북,구미시,송정동,62,실버,1,2003-11-19,14,"7,216,930","524,200,000",3,"1,048,400,000",0,0,y,n,"79,167",32,"3,828,000",영업점,4,학사,4,카톨릭,8,무직,사별,자가소유
B900,11883600,13012,인천,계양구,동양동,67,실버,1,2005-07-03,13,"4,954,687","5,300,000",7,"10,600,000",0,0,y,n,"1,081,667",0, - ,콜센터,4,학사,1,불교,6,주부,재혼,자가소유
B901,11884412,17857,강원,원주시,개운동,55,플래티늄,3,2004-05-29,14,"556,154,503","13,400,000",2,"26,800,000",0,0,n,n,"8,082,500",25,"21,072,000",영업점,2,고졸,2,기독교,3,자영업,사실혼,월세
B902,11885948,25208,경기,의정부시,신곡2동,59,골드,2,2005-08-18,12,"20,613,733","17,500,000",7,"35,000,000",0,0,n,n,"8,333",12,"8,652,000",pb센터,4,학사,2,기독교,8,무직,사실혼,전세
B903,11886878,1,NULL,NULL,NULL,67,패밀리,0,2007-07-04,11,"382,897","94,500,000",6,"189,000,000",0,0,n,n,"9,167",0, - ,영업점,3,대퇴,1,불교,0,NULL,이혼,자가소유
B904,11888049,43358,충남,보령시,죽정동,78,패밀리,0,2005-04-17,13,"467,871","19,900,000",6,"39,800,000",0,0,n,n,"3,485,706",29,"20,280,000",영업점,3,대퇴,9,원불교,6,주부,사별,가족소유
B905,11890965,41103,전북,전주시,효자동1가,35,패밀리,0,2002-03-25,16,"475,085","388,800,000",4,"777,600,000",0,0,n,n,"3,035,939",0, - ,영업점,9,NULL,9,원불교,0,NULL,사실혼,전세
B906,11891166,31300,경북,경주시,감포읍,57,패밀리,0,2006-12-13,11,"451,940","19,600,000",6,"39,200,000",0,0,n,n,"1,010,833",26,"6,540,000",pb센터,2,고졸,9,원불교,6,주부,이혼,가족소유
B907,11893718,48386,경기,고양시,성석동,57,패밀리,0,2008-11-16,9,"127,222","6,800,000",9,"13,600,000",138200000,34550000,y,n,"14,167",0, - ,콜센터,3,대퇴,1,불교,0,NULL,사별,가족소유
B908,11893722,10438,부산,해운대구,좌동,46,실버,1,2010-03-25,8,"7,383,844","199,200,000",4,"398,400,000",0,0,n,n,"15,000",0, - ,영업점,3,대퇴,4,카톨릭,0,NULL,사별,가족소유
B909,11898100,39758,전북,군산시,조촌동,73,실버,1,2010-10-11,7,"2,638,053","19,900,000",4,"39,800,000",0,0,n,n,"8,015,833",0, - ,영업점,5,석사,2,기독교,3,자영업,이혼,자가소유
B910,11899040,11,NULL,NULL,NULL,80,패밀리,0,2004-01-16,14,"996,691","19,500,000",3,"39,000,000",0,0,n,n,"7,017,500",0, - ,콜센터,4,학사,9,원불교,2,전문직,사별,가족소유
B911,11900340,25690,경기,파주시,교하읍,57,패밀리,0,2006-11-13,11,"315,208","320,000,000",2,"640,000,000",0,0,n,n,"4,444,472",0, - ,영업점,3,대퇴,1,불교,1,회사원,비혼,월세
B912,11903222,45182,충남,예산군,삽교읍,54,패밀리,0,2005-12-19,12,"717,423","3,100,000",7,"6,200,000",0,0,y,n,"8,020,000",12,"19,584,000",영업점,4,학사,2,기독교,3,자영업,비혼,자가소유
B913,11905075,23965,경기,안양시,부흥동,56,패밀리,0,2003-11-28,14,"768,823","19,500,000",7,"39,000,000",0,0,n,n,"1,020,833",0, - ,pb센터,3,대퇴,4,카톨릭,7,학생,사별,자가소유
B914,11905708,20782,경기,광주시,퇴촌면,58,패밀리,0,2002-11-11,15,"374,370","59,100,000",3,"118,200,000",0,0,n,n,"2,521,667",19,"17,136,000",영업점,3,대퇴,1,불교,5,군인,비혼,가족소유
B915,11906254,32,NULL,NULL,NULL,67,실버,1,2008-08-18,9,"2,447,870","18,100,000",4,"36,200,000",1000000,0,y,n,"8,022,500",10,"19,716,000",영업점,4,학사,2,기독교,3,자영업,사실혼,자가소유
B916,11914758,2462,서울,금천구,시흥5동,51,골드,2,2005-05-05,13,"23,049,196","902,200,000",3,"1,804,400,000",0,0,n,n,"25,000",0, - ,콜센터,4,학사,2,기독교,8,무직,이혼,전세
B917,11917933,39613,전북,군산시,경장동,55,패밀리,0,2003-08-05,14,"732,700","773,300,000",2,"1,546,600,000",0,0,n,n,"1,025,833",0, - ,영업점,4,학사,1,불교,6,주부,이혼,자가소유
B918,11918574,3950,서울,마포구,중동,75,패밀리,0,2004-02-03,14,"873,829","42,200,000",7,"84,400,000",0,0,y,n,"26,667",12,"23,232,000",영업점,6,박사,1,불교,8,무직,재혼,전세
B919,11922029,48483,경기,고양시,일산2동,65,골드,2,2006-03-06,12,"18,641,019","529,300,000",3,"1,058,600,000",0,0,n,n,"29,167",0, - ,영업점,3,대퇴,1,불교,8,무직,비혼,월세
B920,11922364,35275,경북,의성군,점곡면,44,패밀리,0,2004-10-27,13,"888,905","715,500,000",1,"1,431,000,000",4500000,1125000,n,n,"8,030,833",0, - ,영업점,3,대퇴,4,카톨릭,3,자영업,이혼,전세
B921,11923293,21758,경기,부천시,괴안동,62,골드,2,2004-09-02,13,"12,611,886","1,500,000",8,"3,000,000",0,0,y,n,"2,052,121",0, - ,영업점,3,대퇴,4,카톨릭,6,주부,이혼,월세
B922,11924125,13992,인천,서구,검암동,42,패밀리,0,2006-12-27,11,"850,670","29,100,000",7,"58,200,000",0,0,n,n,"31,667",0, - ,영업점,5,석사,1,불교,8,무직,사별,전세
B923,11924654,6430,서울,은평구,신사동,56,골드,2,2006-08-08,11,"24,382,107","774,500,000",1,"1,549,000,000",0,0,n,n,"8,032,500",0, - ,pb센터,5,석사,1,불교,3,자영업,비혼,월세
B924,11926130,0,NULL,NULL,NULL,46,플래티늄,3,2003-02-17,15,"328,392,190","13,100,000",5,"26,200,000",0,0,n,n,"6,706,823",0, - ,pb센터,9,NULL,9,원불교,0,NULL,재혼,월세
B925,11927477,15647,광주,서구,화정동,57,패밀리,0,2004-05-09,14,"830,698","50,500,000",4,"101,000,000",0,0,n,n,"1,035,000",36,"18,036,000",영업점,2,고졸,1,불교,6,주부,기혼,월세
B926,11930218,25664,경기,파주시,교하읍,56,패밀리,0,2002-03-16,16,"322,460","3,600,000",10,"7,200,000",0,0,n,n,"35,833",0, - ,pb센터,9,NULL,9,원불교,0,NULL,이혼,가족소유
B927,11936972,20085,경기,고양시,마두1동,72,패밀리,0,2009-08-23,8,"595,265","107,000,000",5,"214,000,000",0,0,n,n,"37,500",0, - ,영업점,5,석사,4,카톨릭,8,무직,이혼,자가소유
B928,11937432,20023,경기,고양시,대화동,61,패밀리,0,2001-10-05,16,"789,556","15,500,000",7,"31,000,000",0,0,n,n,"1,038,333",0, - ,pb센터,9,NULL,9,원불교,7,학생,사별,월세
B929,11938860,,NULL,NULL,NULL,62,패밀리,0,2007-07-22,10,"498,194","644,400,000",3,"1,288,800,000",0,0,n,n,"4,745,933",22,"16,944,000",pb센터,2,고졸,4,카톨릭,8,무직,기혼,자가소유
B930,11938887,25900,경기,파주시,탄현면,68,패밀리,0,2009-03-23,9,"383,974","2,800,000",9,"5,600,000",0,0,n,n,"10,434,933",0, - ,영업점,2,고졸,1,불교,7,학생,기혼,자가소유
B931,11940666,21093,경기,군포시,재궁동,49,실버,1,2004-03-04,14,"4,777,358","2,300,000",9,"4,600,000",0,0,n,n,"1,039,167",0, - ,영업점,5,석사,2,기독교,7,학생,재혼,월세
B932,11943190,1171,서울,강서구,가양1동,69,골드,2,2007-04-23,11,"10,928,370","143,500,000",3,"287,000,000",0,0,n,n,"1,041,667",32,"9,072,000",영업점,5,석사,2,기독교,6,주부,이혼,월세
B933,11946709,436,서울,강남구,역삼1동,84,실버,1,2009-10-15,8,"3,514,659","984,900,000",3,"1,969,800,000",0,0,n,n,"43,333",27,"19,896,000",영업점,4,학사,4,카톨릭,8,무직,이혼,전세
B934,11948098,43933,충남,아산시,탕정면,66,패밀리,0,2002-04-08,16,"166,931","66,400,000",4,"132,800,000",0,0,n,n,"1,044,167",33,"14,340,000",영업점,2,고졸,3,무교,6,주부,사실혼,전세
B935,11948956,26057,경기,평택시,합정동,52,패밀리,0,2005-05-31,13,"147,478","812,500,000",2,"1,625,000,000",0,0,n,n,"1,045,833",0, - ,영업점,2,고졸,1,불교,6,주부,사별,가족소유
B936,11949122,1,NULL,NULL,NULL,56,플래티늄,3,2002-07-15,15,"517,230,742","28,100,000",3,"56,200,000",0,0,n,n,"1,046,667",0, - ,영업점,9,NULL,9,원불교,6,주부,기혼,자가소유
B937,11952516,3891,서울,마포구,성산동,54,패밀리,0,2005-09-25,12,"324,165","281,100,000",3,"562,200,000",0,0,n,n,"3,924,183",15,"23,736,000",pb센터,2,고졸,1,불교,6,주부,기혼,가족소유
B938,11952769,20154,경기,고양시,식사동,61,패밀리,0,2006-03-25,12,"598,481","106,200,000",4,"212,400,000",0,0,n,n,"1,047,500",0, - ,영업점,4,학사,1,불교,7,학생,이혼,가족소유
B939,11954016,21,NULL,NULL,NULL,64,패밀리,0,2006-02-16,12,"261,633","242,600,000",2,"485,200,000",4600000,0,n,n,"7,048,333",0, - ,영업점,2,고졸,1,불교,2,전문직,재혼,전세
B940,11956008,46260,충북,청주시,분평동,47,실버,1,2003-05-04,15,"5,349,448","39,500,000",4,"79,000,000",0,0,n,n,"1,050,000",0, - ,영업점,4,학사,1,불교,6,주부,이혼,자가소유
B941,11959425,19877,경기,고양시,성사동,62,패밀리,0,2004-12-30,13,"956,814","4,900,000",8,"9,800,000",0,0,n,n,"1,053,333",31,"9,084,000",영업점,2,고졸,9,원불교,6,주부,이혼,자가소유
B942,11960538,193,서울,강남구,대치동,54,골드,2,2001-08-06,16,"16,231,265","32,700,000",6,"65,400,000",0,0,n,y,"1,054,167",0, - ,영업점,4,학사,1,불교,7,학생,재혼,전세
B943,11961572,20326,경기,고양시,탄현동,34,패밀리,0,2009-03-18,9,"681,924","45,900,000",7,"91,800,000",0,0,n,n,"55,000",0, - ,영업점,5,석사,2,기독교,9,기타,기혼,전세
B944,11963206,24290,경기,안양시,안양9동,37,골드,2,2002-10-04,15,"26,958,866","725,700,000",3,"1,451,400,000",0,0,n,n,"1,522,389",24,"9,936,000",영업점,4,학사,1,불교,8,무직,사별,자가소유
B945,11963288,5066,서울,송파구,가락동,44,실버,1,2002-03-09,16,"6,155,276","4,600,000",6,"9,200,000",0,0,n,n,"8,055,833",0, - ,영업점,2,고졸,4,카톨릭,3,자영업,재혼,월세
B946,11963342,27335,경기,연천군,군남면,59,패밀리,0,2008-12-21,9,"447,997","30,900,000",5,"61,800,000",143600000,35900000,n,n,"1,834,025",0, - ,영업점,5,석사,1,불교,6,주부,비혼,자가소유
B947,11966544,46294,충북,청주시,사창동,43,패밀리,0,2004-01-07,14,"438,934","2,200,000",7,"4,400,000",0,0,n,n,"8,058,333",0, - ,영업점,4,학사,1,불교,3,자영업,사실혼,전세
B948,11966917,20022,경기,고양시,대화동,56,실버,1,2008-03-16,10,"9,536,943","60,700,000",3,"121,400,000",0,0,n,n,"8,060,000",19,"23,640,000",영업점,2,고졸,1,불교,3,자영업,사별,월세
B949,11968644,0,NULL,NULL,NULL,59,골드,2,2006-11-22,11,"16,145,719","46,700,000",7,"93,400,000",0,0,n,n,"60,833",0, - ,영업점,3,대퇴,1,불교,0,NULL,이혼,자가소유
B950,11970643,32159,경북,문경시,점촌동,44,패밀리,0,2005-03-31,13,"472,201","11,800,000",5,"23,600,000",0,0,n,n,"8,061,667",0, - ,영업점,2,고졸,1,불교,3,자영업,비혼,전세
B951,11979734,17919,강원,원주시,명륜1동,68,골드,2,2006-03-21,12,"13,576,718","64,300,000",4,"128,600,000",0,0,n,n,"1,065,000",0, - ,영업점,1,기타,4,카톨릭,6,주부,사별,월세
B952,11982118,48659,경기,고양시,장항2동 ,68,패밀리,0,2007-12-15,10,"304,116","18,300,000",7,"36,600,000",0,0,n,y,"1,066,667",34,"22,224,000",영업점,4,학사,1,불교,7,학생,비혼,가족소유
B953,11982291,43723,충남,아산시,온천동,52,패밀리,0,2003-03-28,15,"473,013","50,600,000",4,"101,200,000",0,0,n,n,"1,067,500",27,"13,872,000",영업점,5,석사,3,무교,6,주부,기혼,가족소유
B954,11982546,3698,서울,동작구,신대방2동,60,패밀리,0,2006-05-22,12,"107,492","6,900,000",9,"13,800,000",0,0,n,n,"2,290,268",0, - ,pb센터,3,대퇴,7,원불교,0,NULL,사실혼,가족소유
B955,11982884,34134,경북,봉화군,봉화읍,51,패밀리,0,2002-05-20,16,"655,680","65,100,000",3,"130,200,000",0,0,n,n,"8,068,333",0, - ,pb센터,2,고졸,4,카톨릭,3,자영업,비혼,자가소유
